frame	kind	x	y	w	h	area
61	VEL-HI	0	320	64	64	4
61	VEL-HI	640	448	64	64	4
61	VEL-LO	288	512	416	512	125
62	PLANT	313	443	388	145	13379
62	PLANT	45	611	72	80	2964
62	PLANT	217	571	53	50	1478
62	VEL-HI	640	416	64	96	5
62	VEL-HI	544	1120	96	96	5
62	VEL-LO	256	480	448	512	120
63	PLANT	309	437	352	138	12443
63	PLANT	35	609	74	82	3013
63	PLANT	211	569	54	50	1508
63	VEL-HI	640	384	64	96	5
63	VEL-HI	0	832	64	64	4
63	VEL-LO	224	480	480	512	108
64	PLANT	305	431	382	202	13966
64	PLANT	27	607	74	82	3042
64	PLANT	204	565	56	52	1496
64	VEL-HI	160	1216	64	64	4
64	VEL-LO	224	576	480	448	110
65	PLANT	301	429	406	200	14991
65	PLANT	19	605	76	84	3177
65	PLANT	197	563	58	54	1582
65	VEL-HI	32	384	256	96	12
65	VEL-HI	640	320	64	64	4
65	VEL-LO	224	576	480	448	109
66	PLANT	295	425	408	147	14369
66	PLANT	13	603	76	86	3303
66	PLANT	193	561	57	54	1605
66	VEL-HI	416	224	96	128	7
66	VEL-HI	544	32	64	96	5
66	VEL-LO	384	544	320	544	111
67	PLANT	289	421	414	212	16221
67	PLANT	6	603	79	86	3335
67	PLANT	189	559	57	54	1618
67	VEL-HI	96	224	128	128	7
67	VEL-HI	416	224	96	96	5
67	VEL-LO	352	480	352	768	141
68	PLANT	285	417	418	152	14603
68	PLANT	0	601	79	88	3340
68	PLANT	183	559	59	53	1673
68	VEL-HI	256	256	96	96	7
68	VEL-HI	32	288	128	128	7
68	VEL-LO	352	448	352	800	167
69	PLANT	281	415	420	150	14612
69	PLANT	0	599	73	90	3245
69	PLANT	179	557	59	54	1742
69	VEL-HI	480	32	128	160	9
69	VEL-HI	224	192	128	128	7
69	VEL-LO	384	448	320	832	151
70	PLANT	277	413	421	210	16834
70	PLANT	0	599	68	90	3284
70	PLANT	175	555	59	52	1592
70	VEL-HI	480	32	128	96	10
70	VEL-HI	160	1152	96	96	5
70	VEL-LO	352	448	352	832	147
71	PLANT	273	412	396	205	15683
71	PLANT	0	597	65	92	3249
71	PLANT	171	555	59	56	1804
71	VEL-HI	448	0	192	192	23
71	VEL-HI	128	1024	128	160	7
71	VEL-LO	256	608	448	416	82
72	PLANT	269	411	424	152	15625
72	PLANT	0	595	61	94	3231
72	PLANT	167	553	60	58	1799
72	VEL-HI	480	0	128	192	15
72	VEL-HI	0	832	128	320	14
72	VEL-LO	224	576	480	512	119
73	PLANT	267	409	426	218	17175
73	PLANT	0	597	57	92	3162
73	PLANT	163	553	61	56	1772
73	VEL-HI	416	0	192	288	21
73	VEL-HI	64	1120	96	96	5
74	PLANT	263	409	424	209	16817
74	PLANT	0	595	55	95	3035
74	PLANT	161	553	59	56	1764
74	VEL-HI	416	0	224	320	26
74	VEL-LO	256	544	448	416	86
75	PLANT	259	407	424	154	15494
75	PLANT	0	595	51	95	2919
75	PLANT	157	553	60	56	1813
75	VEL-HI	416	0	192	320	25
76	PLANT	257	407	428	152	15427
76	PLANT	0	599	47	92	2699
76	PLANT	155	553	60	56	1810
76	VEL-HI	448	0	192	256	26
76	VEL-HI	32	1024	160	160	11
77	PLANT	253	406	431	155	15589
77	PLANT	0	599	45	92	2445
77	PLANT	151	553	61	56	1837
77	VEL-HI	32	864	224	416	36
77	VEL-HI	480	0	192	256	21
78	PLANT	251	405	426	192	16030
78	PLANT	0	601	41	90	2164
78	PLANT	149	551	61	58	1816
78	VEL-HI	384	0	224	288	32
78	VEL-HI	0	864	224	256	21
79	PLANT	249	405	422	188	15626
79	PLANT	0	601	39	89	1921
79	PLANT	147	551	60	58	1847
79	VEL-HI	384	0	224	384	44
79	VEL-HI	160	928	96	256	13
80	PLANT	249	399	269	160	11632
80	PLANT	558	475	119	136	4359
80	PLANT	0	599	37	91	1763
80	VEL-HI	416	0	192	416	41
80	VEL-HI	0	928	192	160	16
81	PLANT	245	404	432	209	16910
81	PLANT	143	551	61	55	1656
81	PLANT	0	599	35	92	1604
81	VEL-HI	384	0	224	416	45
81	VEL-HI	64	1056	64	64	4
82	PLANT	243	399	432	212	16651
82	PLANT	141	553	62	54	1683
82	PLANT	0	601	33	90	1485
82	VEL-HI	384	0	224	384	40
82	VEL-LO	384	800	320	480	63
83	PLANT	243	401	430	208	17218
83	PLANT	141	553	62	54	1666
83	PLANT	0	601	33	92	1368
83	VEL-HI	448	0	128	352	28
84	PLANT	241	405	432	206	16673
84	PLANT	139	553	61	56	1824
84	PLANT	0	633	31	60	1066
84	VEL-HI	480	0	96	352	25
85	PLANT	241	401	432	158	15794
85	PLANT	139	553	61	56	1846
85	PLANT	0	633	29	60	1049
85	VEL-HI	480	32	96	320	20
86	PLANT	239	405	430	156	15062
86	PLANT	139	553	60	56	1795
86	PLANT	0	635	29	59	1032
86	VEL-HI	0	0	256	224	35
86	VEL-HI	480	0	128	352	20
87	PLANT	239	405	431	216	16673
87	PLANT	138	553	61	56	1770
87	PLANT	0	635	29	59	1028
87	VEL-HI	480	64	96	96	5
88	PLANT	239	401	432	214	16919
88	PLANT	135	553	64	58	1890
88	PLANT	0	633	29	60	993
88	VEL-HI	480	64	96	192	10
88	VEL-HI	640	160	64	96	4
89	PLANT	239	403	434	160	15365
89	PLANT	135	553	64	54	1715
89	PLANT	0	633	29	60	1011
90	PLANT	239	403	432	156	15441
90	PLANT	135	553	64	54	1734
90	PLANT	0	633	29	60	973
91	PLANT	239	403	430	215	16913
91	PLANT	135	553	64	54	1686
91	PLANT	0	633	29	60	988
92	PLANT	239	403	432	208	16817
92	PLANT	135	553	64	56	1900
92	PLANT	0	633	29	60	1017
93	PLANT	239	403	434	210	16819
93	PLANT	137	553	62	52	1636
93	PLANT	0	631	29	60	1021
93	VEL-HI	544	480	64	64	4
94	PLANT	239	403	435	158	15471
94	PLANT	139	551	63	58	1855
94	PLANT	0	631	29	60	1065
94	VEL-HI	448	0	224	352	35
94	VEL-HI	256	32	96	96	5
95	PLANT	241	403	432	158	15668
95	PLANT	139	551	62	54	1687
95	PLANT	0	631	31	60	1125
95	VEL-HI	448	0	128	352	26
96	PLANT	241	403	435	210	17533
96	PLANT	141	551	62	56	1855
96	PLANT	0	631	31	58	1104
96	VEL-HI	480	0	96	384	24
97	PLANT	243	403	435	154	16356
97	PLANT	141	549	61	57	1874
97	PLANT	0	629	31	60	1100
97	VEL-HI	480	0	96	384	26
98	PLANT	245	401	434	156	16331
98	PLANT	143	549	60	56	1824
98	PLANT	0	629	33	60	1158
98	VEL-HI	384	0	256	384	39
99	PLANT	247	401	434	154	15900
99	PLANT	145	547	60	54	1669
99	PLANT	0	627	35	60	1279
99	VEL-HI	384	0	256	416	43
99	VEL-LO	0	864	704	416	218
100	PLANT	249	397	432	160	15527
100	PLANT	147	547	60	58	1879
100	PLANT	0	593	37	92	1629
100	VEL-HI	416	0	256	448	51
100	VEL-LO	32	960	672	320	166
101	PLANT	251	401	432	214	16873
101	PLANT	0	591	39	92	1831
101	PLANT	149	547	60	56	1791
101	VEL-HI	384	0	288	416	51
101	VEL-LO	96	992	608	288	141
102	PLANT	253	401	434	209	17015
102	PLANT	0	589	41	93	2028
102	PLANT	151	545	60	58	1846
102	VEL-HI	384	0	288	448	49
102	VEL-HI	0	32	64	96	5
102	VEL-LO	96	960	608	320	142
