frame	time	camMag	camDx	camDy	meanMag	maxMag	hiFrac	loFrac	localEnergy	plantArea	plantN	plantCx	plantCy	shadowFrac	shadowChange	shadowCx	shadowCy	luma
54	1.8018	4.472	2.000	4.000	16.437	39.598	0.0420	0.1125	15.6742	0.01557	3	452.6	589.8	0.0500	0.01382	481.6	427.4	139.14
55	1.8352	6.325	2.000	6.000	15.305	39.699	0.0284	0.0977	14.4650	0.01634	3	449.1	586.5	0.0438	0.01826	455.3	442.9	137.99
56	1.8685	4.472	2.000	4.000	14.892	39.598	0.0261	0.1159	14.1769	0.01701	3	447.7	583.4	0.0466	0.01478	454.2	441.2	136.99
57	1.9019	6.325	2.000	6.000	15.102	42.426	0.0205	0.1114	14.3285	0.01766	3	445.4	577.6	0.0485	0.01544	449.6	438.5	135.99
58	1.9353	4.472	2.000	4.000	15.091	39.699	0.0239	0.1045	14.4988	0.01835	3	439.4	572.6	0.0417	0.01707	447.6	421.0	134.30
59	1.9686	6.325	2.000	6.000	18.958	42.426	0.0557	0.0523	18.2069	0.01926	3	430.6	565.1	0.0482	0.02801	386.8	417.4	125.91
60	2.0020	4.472	2.000	4.000	14.107	39.598	0.0295	0.1239	13.4838	0.02023	3	430.0	564.4	0.0434	0.02298	382.7	499.4	125.70
61	2.0354	4.472	2.000	4.000	13.638	38.419	0.0159	0.1420	12.9557	0.02158	3	428.9	561.3	0.0410	0.01295	382.6	486.3	125.72
62	2.0687	2.828	2.000	2.000	13.792	37.202	0.0205	0.1364	13.1805	0.02283	3	426.0	557.5	0.0454	0.01360	366.0	506.1	125.74
63	2.1021	4.472	4.000	2.000	13.224	39.699	0.0182	0.1227	12.4383	0.02305	3	416.7	554.6	0.0340	0.01786	309.8	590.5	125.71
64	2.1355	4.472	4.000	2.000	12.570	39.699	0.0102	0.1250	11.7089	0.02382	3	417.3	551.5	0.0276	0.01210	294.4	717.2	125.67
65	2.1688	4.472	4.000	2.000	12.432	39.598	0.0284	0.1239	11.4541	0.02424	3	411.5	547.8	0.0356	0.01895	363.8	539.5	125.61
66	2.2022	2.828	2.000	2.000	11.804	38.419	0.0273	0.1284	11.0770	0.02503	3	405.7	545.2	0.0364	0.01504	329.1	551.3	125.45
67	2.2356	4.472	4.000	2.000	11.636	38.419	0.0295	0.1602	10.6667	0.02610	3	407.6	544.0	0.0338	0.00884	318.1	544.5	125.48
68	2.2689	4.472	4.000	2.000	11.391	39.598	0.0341	0.1989	10.3261	0.02644	3	401.7	542.1	0.0327	0.00781	326.8	538.4	125.58
69	2.3023	4.000	4.000	0.000	11.355	38.419	0.0250	0.1739	10.1429	0.02642	3	399.3	540.0	0.0226	0.01491	290.3	723.4	125.61
70	2.3357	4.000	4.000	0.000	10.803	38.419	0.0239	0.1705	9.7071	0.02702	3	399.2	539.5	0.0331	0.01294	326.8	539.6	125.75
71	2.3690	4.000	4.000	0.000	10.176	39.598	0.0409	0.0966	8.9372	0.02676	3	389.8	536.2	0.0231	0.01331	281.8	720.5	125.95
72	2.4024	2.000	2.000	0.000	9.542	36.878	0.0477	0.1409	8.3997	0.02695	3	388.8	534.5	0.0164	0.00891	270.6	705.9	126.14
73	2.4358	4.000	4.000	0.000	9.865	39.699	0.0352	0.1091	8.6809	0.02729	3	391.6	533.6	0.0241	0.01035	334.7	550.0	126.29
74	2.4691	2.000	2.000	0.000	8.970	38.419	0.0386	0.1659	7.7509	0.02658	3	385.4	530.9	0.0173	0.01022	267.5	706.4	126.51
75	2.5025	2.000	2.000	0.000	8.748	36.878	0.0364	0.1852	7.6356	0.02650	3	384.7	530.7	0.0165	0.00282	260.8	709.3	126.74
76	2.5359	2.000	2.000	0.000	8.358	39.598	0.0614	0.2648	7.1600	0.02656	3	389.4	531.0	0.0161	0.00219	255.7	710.1	126.95
77	2.5692	2.000	2.000	0.000	7.175	38.419	0.0648	0.3318	5.9146	0.02605	3	388.4	527.2	0.0168	0.00251	246.4	708.2	127.17
78	2.6026	2.000	2.000	0.000	6.453	34.409	0.0750	0.4159	5.1138	0.02571	3	392.2	526.1	0.0169	0.00188	240.9	710.4	127.36
79	2.6360	2.000	2.000	0.000	5.016	36.878	0.0795	0.5443	3.4999	0.02563	3	392.5	523.6	0.0214	0.00621	248.3	728.4	127.57
80	2.6693	2.000	2.000	0.000	4.202	34.409	0.0659	0.0000	2.6141	0.02549	3	395.2	523.5	0.0270	0.00857	312.1	584.2	127.78
81	2.7027	2.000	2.000	0.000	3.504	33.941	0.0557	0.0000	1.8144	0.02525	3	398.4	521.8	0.0160	0.01212	244.4	714.1	127.98
82	2.7361	2.000	2.000	0.000	2.513	31.241	0.0455	0.0773	1.2820	0.02503	3	397.9	523.4	0.0169	0.00171	244.3	711.8	128.20
83	2.7694	2.000	2.000	0.000	1.713	31.113	0.0318	0.3239	1.4652	0.02526	3	401.7	521.7	0.0196	0.00520	217.6	596.9	128.37
84	2.8028	0.000	0.000	0.000	1.490	29.120	0.0284	0.4091	1.4896	0.02489	3	402.1	521.9	0.0161	0.00475	241.4	710.7	128.41
85	2.8362	0.000	0.000	0.000	0.669	22.627	0.0227	0.7375	0.6691	0.02475	3	401.0	520.1	0.0166	0.00133	242.2	710.9	128.47
86	2.8695	0.000	0.000	0.000	0.270	10.000	0.0648	0.8716	0.2705	0.02431	3	399.3	521.1	0.0205	0.00492	213.1	597.9	128.56
87	2.9029	0.000	0.000	0.000	0.053	6.325	0.0057	0.9705	0.0526	0.02481	3	401.5	521.6	0.0200	0.00103	213.4	595.3	128.68
88	2.9363	0.000	0.000	0.000	0.161	16.000	0.0170	0.9250	0.1607	0.02529	3	397.5	521.9	0.0250	0.00603	225.8	630.0	128.44
89	2.9696	0.000	0.000	0.000	0.034	2.828	0.0011	0.9750	0.0337	0.02516	3	397.6	521.2	0.0175	0.00880	251.5	708.1	128.66
